,Team,Date,Rank
0,USC,20050801,1
1,Texas,20050801,2
2,Auburn,20050801,3
3,Oklahoma,20050801,4
4,Miami (Florida),20050801,5
5,Georgia,20050801,6
6,Ohio State,20050801,7
7,Tennessee,20050801,8
8,Michigan,20050801,9
9,LSU,20050801,10
10,Iowa,20050801,11
11,Boise State,20050801,12
12,Florida State,20050801,13
13,Purdue,20050801,14
14,Virginia Tech,20050801,15
15,Texas A&M,20050801,16
16,California,20050801,17
17,Virginia,20050801,18
18,Arizona State,20050801,19
19,Utah,20050801,20
20,Louisville,20050801,21
21,Colorado,20050801,22
22,Florida,20050801,23
23,Texas Tech,20050801,24
24,Georgia Tech,20050801,25
25,Clemson,20050801,26
26,Fresno State,20050801,27
27,Minnesota,20050801,28
28,Oklahoma State,20050801,29
29,Oregon State,20050801,30
30,North Carolina State,20050801,31
31,Arkansas,20050801,32
32,Wisconsin,20050801,33
33,Washington State,20050801,34
34,UCLA,20050801,35
35,Notre Dame,20050801,36
36,Pittsburgh,20050801,37
37,Maryland,20050801,38
38,Boston College,20050801,39
39,New Mexico,20050801,40
40,Kansas,20050801,41
41,Michigan State,20050801,42
42,Bowling Green,20050801,43
43,Oregon,20050801,44
44,Wyoming,20050801,45
45,Alabama,20050801,46
46,Kansas State,20050801,47
47,Miami (Ohio),20050801,48
48,North Carolina,20050801,49
49,Northwestern,20050801,50
50,Stanford,20050801,51
51,Iowa State,20050801,52
52,Southern Mississippi,20050801,53
53,Colorado State,20050801,54
54,Wake Forest,20050801,55
55,Penn State,20050801,56
56,Missouri,20050801,57
57,Syracuse,20050801,58
58,Toledo,20050801,59
59,Nebraska,20050801,60
60,UAB,20050801,61
61,BYU,20050801,62
62,Mississippi,20050801,63
63,West Virginia,20050801,64
64,Connecticut,20050801,65
65,South Carolina,20050801,66
66,Arizona,20050801,67
67,Louisiana Tech,20050801,68
68,Northern Illinois,20050801,69
69,UTEP,20050801,70
70,Rutgers,20050801,71
71,Air Force,20050801,72
72,Memphis,20050801,73
73,South Florida,20050801,74
74,San Diego State,20050801,75
75,Houston,20050801,76
76,TCU,20050801,77
77,Troy,20050801,78
78,Washington,20050801,79
79,Tulane,20050801,80
80,Middle Tennessee,20050801,81
81,Mississippi State,20050801,82
82,Duke,20050801,83
83,Hawai'i,20050801,84
84,Cincinnati,20050801,85
85,Navy,20050801,86
86,SMU,20050801,87
87,Vanderbilt,20050801,88
88,Nevada,20050801,89
89,Tulsa,20050801,90
90,Baylor,20050801,91
91,North Texas,20050801,92
92,Kentucky,20050801,93
93,Akron,20050801,94
94,Marshall,20050801,95
95,Illinois,20050801,96
96,Louisiana-Monroe,20050801,97
97,Kent State,20050801,98
98,UNLV,20050801,99
99,Indiana,20050801,100
100,Louisiana-Lafayette,20050801,101
101,Rice,20050801,102
102,New Mexico State,20050801,103
103,Florida Atlantic,20050801,104
104,Idaho,20050801,105
105,Arkansas State,20050801,106
106,Central Michigan,20050801,107
107,Ball State,20050801,108
108,Temple,20050801,109
109,Army,20050801,110
110,Ohio,20050801,111
111,Eastern Michigan,20050801,112
112,East Carolina,20050801,113
113,Western Michigan,20050801,114
114,Utah State,20050801,115
115,San Jose State,20050801,116
116,UCF,20050801,117
117,Florida International,20050801,118
118,Buffalo,20050801,119
119,USC,20050905,1
120,Texas,20050905,2
121,Georgia,20050905,3
122,Ohio State,20050905,4
123,LSU,20050905,5
124,Tennessee,20050905,6
125,Florida State,20050905,7
126,Michigan,20050905,8
127,Auburn,20050905,9
128,Iowa,20050905,10
129,Miami (Florida),20050905,11
130,Virginia Tech,20050905,12
131,Purdue,20050905,13
132,Oklahoma,20050905,14
133,Boise State,20050905,15
134,Georgia Tech,20050905,16
135,California,20050905,17
136,Virginia,20050905,18
137,Texas A&M,20050905,19
138,Florida,20050905,20
139,Utah,20050905,21
140,Colorado,20050905,22
141,Arizona State,20050905,23
142,Louisville,20050905,24
143,Texas Tech,20050905,25
144,Clemson,20050905,26
145,Minnesota,20050905,27
146,Fresno State,20050905,28
147,Wisconsin,20050905,29
148,Notre Dame,20050905,30
149,UCLA,20050905,31
150,Boston College,20050905,32
151,Oregon State,20050905,33
152,Arkansas,20050905,34
153,Washington State,20050905,35
154,Oklahoma State,20050905,36
155,North Carolina State,20050905,37
156,Maryland,20050905,38
157,Oregon,20050905,39
158,Michigan State,20050905,40
159,Alabama,20050905,41
160,Kansas,20050905,42
161,New Mexico,20050905,43
162,Pittsburgh,20050905,44
163,Bowling Green,20050905,45
164,Penn State,20050905,46
165,Kansas State,20050905,47
166,North Carolina,20050905,48
167,Northwestern,20050905,49
168,Wyoming,20050905,50
169,Stanford,20050905,51
170,Southern Mississippi,20050905,52
171,Missouri,20050905,53
172,Miami (Ohio),20050905,54
173,West Virginia,20050905,55
174,Colorado State,20050905,56
175,Iowa State,20050905,57
176,Mississippi,20050905,58
177,Toledo,20050905,59
178,Nebraska,20050905,60
179,UAB,20050905,61
180,TCU,20050905,62
181,Connecticut,20050905,63
