,Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,Home or Away
1113,698,698052220050903,35,58,1,45,24,226,1,1,0,2,29,0,1,10,0,1,4,0,1,15,0,0,0,0,1,1,2,2,0,0,0,0,0,17,9,395,4,224,1,0,0,1,1,37,32,9.0,47,3.0,33,1,3,4,0,5,11,3,2085,12,62,18,5,1,0,3,2,1,Away
1115,698,732069820050915,46,228,2,17,8,88,1,0,0,3,87,0,4,23,0,1,5,0,1,12,0,0,0,0,1,1,2,2,0,0,0,0,0,23,9,333,4,246,1,0,0,2,1,48,38,7.0,31,3.0,16,0,2,4,0,11,3,0,1516,5,30,14,4,0,0,4,3,1,Home
1002,651,367065120050924,47,251,4,10,5,104,1,1,0,2,114,1,3,42,0,0,0,0,1,39,0,0,0,0,1,1,6,6,0,0,0,0,0,45,2,96,8,447,0,1,0,1,1,42,45,6.0,37,4.0,33,0,2,10,0,11,4,1,1564,9,64,11,6,1,0,6,4,0,Home
771,490,490025520051006,31,56,0,25,18,230,2,2,0,2,54,0,1,6,0,0,0,0,2,35,0,0,0,0,1,1,2,2,0,0,0,0,0,17,7,282,4,261,1,0,0,0,0,29,62,6.0,11,0.0,0,0,0,3,0,4,10,0,1548,10,98,13,4,0,0,1,0,1,Away
818,509,796050920051008,45,313,4,36,26,361,3,0,0,4,128,0,1,5,0,0,0,0,2,23,0,0,0,0,1,1,7,6,0,0,0,0,0,51,3,135,9,369,0,0,0,2,2,39,44,5.0,15,2.0,11,4,0,0,0,12,16,0,1764,10,96,12,8,0,0,7,5,1,Home
763,473,473081120051015,66,237,3,22,13,118,0,0,0,2,33,0,1,12,0,0,0,0,2,23,0,0,0,0,3,2,3,3,0,0,0,0,0,27,4,175,6,379,2,0,0,4,2,24,26,3.0,3,1.0,1,0,0,1,0,15,8,1,2309,11,81,20,9,4,4,5,3,2,Away
889,528,528010720051015,45,181,2,34,21,196,0,3,0,2,27,0,2,69,0,1,27,0,2,6,0,0,0,0,3,3,2,2,0,0,0,0,0,23,7,349,5,312,0,0,0,1,1,48,6,5.0,24,3.0,22,1,2,7,0,10,7,2,2101,10,94,19,7,0,0,6,1,3,Away
693,434,463043420051022,49,277,4,38,22,246,1,1,0,5,85,0,2,8,0,0,0,0,2,3,0,0,0,0,3,2,5,5,0,0,0,0,0,41,5,194,8,424,1,0,0,2,1,23,42,7.0,49,4.0,43,0,2,7,0,10,12,3,2054,5,43,17,5,3,2,5,3,2,Home
820,509,509041620051022,37,202,4,30,24,331,2,0,0,2,38,0,0,0,0,1,86,1,3,86,0,0,0,0,0,0,7,7,0,0,0,0,0,49,3,108,8,431,1,0,0,1,1,57,14,2.0,12,0.0,0,0,1,5,0,12,16,3,1645,9,65,5,2,0,0,6,5,0,Away
265,156,811015620051022,42,102,0,37,20,419,4,1,0,2,29,0,2,8,0,1,20,0,2,50,1,0,0,0,3,2,5,3,0,0,0,0,0,39,7,307,8,482,3,1,0,2,0,35,32,0.0,22,3.0,17,2,3,3,0,7,13,0,2067,6,60,19,7,1,1,4,1,2,Home
